what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1368386411257
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1368386411258
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1368386411262
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1368386411264
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1368386411264
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1368386411264
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1368386411264
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1368386411265
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1368386411269
os,sysinfo,,,"win32",1368386411279
arch,sysinfo,,,"x86",1368386411279
ws,sysinfo,,,"win32",1368386411279
locale,sysinfo,,,"en_US",1368386411279
processors,sysinfo,,,"8",1368386411279
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368386411279
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1368386411279
java.specification.name,sysinfo,,,"Java Platform API Specification",1368386411279
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368386411279
java.specification.version,sysinfo,,,"1.7",1368386411279
java.vendor,sysinfo,,,"Oracle Corporation",1368386411279
java.version,sysinfo,,,"1.7.0_05",1368386411279
java.vm.info,sysinfo,,,"mixed mode",1368386411279
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368386411279
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368386411279
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368386411279
java.vm.specification.version,sysinfo,,,"1.7",1368386411279
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368386411279
java.vm.version,sysinfo,,,"23.1-b03",1368386411279
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1368386411833
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1368386411836
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1368386411939
