what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1368387460513
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1368387460513
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1368387460513
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1368387460514
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1368387460516
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1368387460518
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1368387460520
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1368387460520
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1368387460522
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1368387460523
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1368387460528
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1368387460530
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1368387460530
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1368387460530
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1368387460530
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1368387460530
os,sysinfo,,,"win32",1368387460539
arch,sysinfo,,,"x86",1368387460539
ws,sysinfo,,,"win32",1368387460539
locale,sysinfo,,,"en_US",1368387460539
processors,sysinfo,,,"8",1368387460539
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368387460539
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1368387460539
java.specification.name,sysinfo,,,"Java Platform API Specification",1368387460539
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368387460539
java.specification.version,sysinfo,,,"1.7",1368387460539
java.vendor,sysinfo,,,"Oracle Corporation",1368387460539
java.version,sysinfo,,,"1.7.0_05",1368387460539
java.vm.info,sysinfo,,,"mixed mode",1368387460539
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368387460539
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368387460540
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368387460540
java.vm.specification.version,sysinfo,,,"1.7",1368387460540
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368387460540
java.vm.version,sysinfo,,,"23.1-b03",1368387460540
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1368387460583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368387460672
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1368387461101
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1368387461905
